,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes,Num,Won,id
681,1994,41,ATL,NFL,16,7,9,0,0.438,-4.3,-1.2,-3.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,JoneJu0
682,1995,42,ATL,NFL,16,9,7,0,0.563,0.1,0.9,-0.9,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,JoneJu0
683,1996,43,ATL,NFL,16,3,13,0,0.188,-9.1,-0.2,-8.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,JoneJu0
684,1998,45,SDG,NFL,10,3,7,0,0.3,-8.4,-7.7,-0.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,JoneJu0
685,2017,45,DEN,NFL,16,5,11,0,0.313,-6.7,-3.9,-2.9,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,JoseVa0
686,2018,46,DEN,NFL,16,6,10,0,0.375,-0.5,-3.6,3.1,0.0,0.0,0.0,0.0,3.0,0.0,7.0,2.0,JoseVa0
687,2020,39,NYG,NFL,16,6,10,0,0.375,-4.4,-6.7,2.3,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,JudgJo0
688,2021,40,NYG,NFL,17,4,13,0,0.235,-8.3,-7.7,-0.6,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,JudgJo0
689,2013,50,PHI,NFL,16,10,6,0,0.625,1.9,2.3,-0.5,1.0,0.0,1.0,0.0,1.0,0,6.0,3.0,KellCh0
690,2014,51,PHI,NFL,16,10,6,0,0.625,3.9,6.6,-2.7,0.0,0.0,0.0,0.0,2.0,0,6.0,4.0,KellCh0
691,2015,52,PHI,NFL,15,6,9,0,0.4,-4.6,-0.6,-4.0,0.0,0.0,0.0,0.0,2.0,Fired after Week 16,4.0,1.0,KellCh0
692,2016,53,SFO,NFL,16,2,14,0,0.125,-11.2,-3.7,-7.5,0.0,0.0,0.0,0.0,4.0,0,5.0,3.0,KellCh0
693,1971,36,PHI,NFL,11,6,4,1,0.6,-4.3,-2.7,-1.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KhayEd0
694,1972,37,PHI,NFL,14,2,11,1,0.179,-14.6,-9.2,-5.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,KhayEd0
695,2007,32,OAK,NFL,16,4,12,0,0.25,-6.0,-3.5,-2.5,0.0,0.0,0.0,0.0,4.0,0,4.0,2.0,KiffLa0
696,2008,33,OAK,NFL,4,1,3,0,0.25,-7.5,-6.5,-1.0,0.0,0.0,0.0,0.0,3.0,Fired after Week 4,3.0,2.0,KiffLa0
697,2019,40,ARI,NFL,16,5,10,1,0.344,-3.2,-0.3,-2.9,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,KingKl0
698,2020,41,ARI,NFL,16,8,8,0,0.5,2.6,1.5,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,KingKl0
699,2021,42,ARI,NFL,17,11,6,0,0.647,5.2,3.6,1.6,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,KingKl0
700,2022,43,ARI,NFL,17,4,13,0,0.235,-6.2,-1.9,-4.3,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,KingKl0
701,2019,45,CLE,NFL,16,6,10,0,0.375,-1.9,-0.4,-1.5,0.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0,KitcFr0
702,1973,41,RAM,NFL,14,12,2,0,0.857,13.4,8.2,5.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,KnoxCh0
703,1974,42,RAM,NFL,14,10,4,0,0.714,3.9,-0.1,4.0,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,KnoxCh0
704,1975,43,RAM,NFL,14,12,2,0,0.857,9.1,0.5,8.7,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,KnoxCh0
705,1976,44,RAM,NFL,14,10,3,1,0.75,10.5,5.9,4.5,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,KnoxCh0
706,1977,45,RAM,NFL,14,10,4,0,0.714,8.5,3.8,4.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,KnoxCh0
707,1978,46,BUF,NFL,16,5,11,0,0.313,-3.3,-0.1,-3.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
708,1979,47,BUF,NFL,16,7,9,0,0.438,-0.2,-3.3,3.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
709,1980,48,BUF,NFL,16,11,5,0,0.688,3.9,-1.6,5.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,KnoxCh0
710,1981,49,BUF,NFL,16,10,6,0,0.625,1.3,-2.5,3.9,2.0,1.0,1.0,0.5,3.0,0.0,0.0,0.0,KnoxCh0
711,1982,50,BUF,NFL,9,4,5,0,0.444,1.5,-1.9,3.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
712,1983,51,SEA,NFL,16,9,7,0,0.563,1.5,3.4,-2.0,3.0,2.0,1.0,0.667,2.0,0.0,0.0,0.0,KnoxCh0
713,1984,52,SEA,NFL,16,12,4,0,0.75,9.0,5.4,3.5,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,KnoxCh0
714,1985,53,SEA,NFL,16,8,8,0,0.5,4.3,0.3,4.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KnoxCh0
715,1986,54,SEA,NFL,16,10,6,0,0.625,6.4,2.4,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KnoxCh0
716,1987,55,SEA,NFL,15,9,6,0,0.6,1.9,2.4,-0.4,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,KnoxCh0
717,1988,56,SEA,NFL,16,9,7,0,0.563,-0.7,1.2,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,KnoxCh0
718,1989,57,SEA,NFL,16,7,9,0,0.438,-2.8,-3.6,0.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
719,1990,58,SEA,NFL,16,9,7,0,0.563,2.7,-0.5,3.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KnoxCh0
720,1991,59,SEA,NFL,16,7,9,0,0.438,1.2,-1.5,2.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
721,1992,60,RAM,NFL,16,6,10,0,0.375,-2.9,1.1,-4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
722,1993,61,RAM,NFL,16,5,11,0,0.313,-8.4,-5.0,-3.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
723,1994,62,RAM,NFL,16,4,12,0,0.25,-5.3,-3.2,-2.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KnoxCh0
724,2016,57,TAM,NFL,16,9,7,0,0.563,-0.2,-1.5,1.3,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,KoetDi0
725,2017,58,TAM,NFL,16,5,11,0,0.313,-1.3,0.4,-1.7,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,KoetDi0
726,2018,59,TAM,NFL,16,5,11,0,0.313,-2.6,2.0,-4.6,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,KoetDi0
727,1991,49,PHI,NFL,16,10,6,0,0.625,4.7,-0.3,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KotiRi0
728,1992,50,PHI,NFL,16,11,5,0,0.688,8.9,4.8,4.1,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,KotiRi0
729,1993,51,PHI,NFL,16,8,8,0,0.5,0.4,0.7,-0.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,KotiRi0
730,1994,52,PHI,NFL,16,7,9,0,0.438,0.6,-0.4,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KotiRi0
731,1995,53,NYJ,NFL,16,3,13,0,0.188,-11.2,-7.9,-3.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,KotiRi0
732,1996,54,NYJ,NFL,16,1,15,0,0.063,-10.1,-2.5,-7.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,KotiRi0
733,2012,45,NOR,NFL,6,2,4,0,0.333,1.4,6.5,-5.1,0.0,0.0,0.0,0.0,3.0,co-coach with Joe Vitt,3.0,2.0,KromAa0
734,2006,45,HOU,NFL,16,6,10,0,0.375,-4.5,-3.2,-1.3,0.0,0.0,0.0,0.0,4.0,0,7.0,3.0,KubiGa0
735,2007,46,HOU,NFL,16,8,8,0,0.5,0.0,2.5,-2.5,0.0,0.0,0.0,0.0,4.0,0,9.0,1.0,KubiGa0
736,2008,47,HOU,NFL,16,8,8,0,0.5,-0.4,2.8,-3.2,0.0,0.0,0.0,0.0,3.0,0,5.0,1.0,KubiGa0
737,2009,48,HOU,NFL,16,9,7,0,0.563,2.0,2.7,-0.7,0.0,0.0,0.0,0.0,2.0,0,6.0,3.0,KubiGa0
738,2010,49,HOU,NFL,16,6,10,0,0.375,-1.8,1.8,-3.7,0.0,0.0,0.0,0.0,3.0,0,5.0,2.0,KubiGa0
739,2011,50,HOU,NFL,16,10,6,0,0.625,4.5,1.4,3.2,2.0,1.0,1.0,0.5,1.0,0,7.0,2.0,KubiGa0
740,2012,51,HOU,NFL,16,12,4,0,0.75,3.5,1.8,1.7,2.0,1.0,1.0,0.5,1.0,0,5.0,2.0,KubiGa0
741,2013,52,HOU,NFL,13,2,11,0,0.154,-7.6,-5.0,-2.6,0.0,0.0,0.0,0.0,4.0,0,5.0,3.0,KubiGa0
742,2015,54,DEN,NFL,16,12,4,0,0.75,5.8,0.3,5.5,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,6.0,2.0,KubiGa0
743,2016,55,DEN,NFL,16,9,7,0,0.563,4.0,-2.0,6.1,0.0,0.0,0.0,0.0,3.0,0,4.0,4.0,KubiGa0
744,1989,52,PHO,NFL,5,0,5,0,0.0,-7.1,-4.0,-3.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KuhlHa0
745,1982,53,BAL,NFL,9,0,8,1,0.056,-8.8,-6.1,-2.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,KushFr0
746,1983,54,BAL,NFL,16,7,9,0,0.438,-6.9,-4.1,-2.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KushFr0
747,1984,55,IND,NFL,15,4,11,0,0.267,-11.1,-7.4,-3.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,KushFr0
748,2019,40,GNB,NFL,16,13,3,0,0.813,3.2,0.6,2.6,2.0,1.0,1.0,0.5,1.0,0.0,10.0,5.0,LaFlMa0
749,2020,41,GNB,NFL,16,13,3,0,0.813,7.7,5.9,1.8,2.0,1.0,1.0,0.5,1.0,0.0,5.0,3.0,LaFlMa0
750,2021,42,GNB,NFL,17,13,4,0,0.765,4.4,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,3.0,LaFlMa0
751,2022,43,GNB,NFL,17,8,9,0,0.471,0.3,-0.3,0.6,0.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,LaFlMa0
752,2023,44,GNB,NFL,17,9,8,0,0.529,1.2,0.9,0.2,2.0,1.0,1.0,0.5,2.0,0.0,9.0,3.0,LaFlMa0
753,2024,45,GNB,NFL,17,11,6,0,0.647,8.1,4.9,3.2,1.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,LaFlMa0
754,2025,46,GNB,NFL,17,9,7,1,0.559,1.0,-0.8,1.7,1.0,0.0,1.0,0.0,2.0,0.0,10.0,6.0,LaFlMa0
755,1970,46,DAL,NFL,14,10,4,0,0.714,7.0,2.5,4.5,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,LandTo0
756,1971,47,DAL,NFL,14,11,3,0,0.786,9.9,8.3,1.6,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,LandTo0
757,1972,48,DAL,NFL,14,10,4,0,0.714,6.1,3.4,2.7,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,LandTo0
758,1973,49,DAL,NFL,14,10,4,0,0.714,12.8,6.8,6.0,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,LandTo0
759,1974,50,DAL,NFL,14,8,6,0,0.571,5.9,4.0,1.9,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,LandTo0
760,1975,51,DAL,NFL,14,10,4,0,0.714,4.1,4.0,0.1,3.0,2.0,1.0,0.667,2.0,NFC Champions,0.0,0.0,LandTo0
761,1976,52,DAL,NFL,14,11,3,0,0.786,4.5,0.5,4.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,LandTo0
762,1977,53,DAL,NFL,14,12,2,0,0.857,7.8,7.6,0.2,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,LandTo0
763,1978,54,DAL,NFL,16,12,4,0,0.75,11.0,5.8,5.2,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,LandTo0
764,1979,55,DAL,NFL,16,11,5,0,0.688,3.3,3.0,0.3,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,LandTo0
765,1980,56,DAL,NFL,16,12,4,0,0.75,8.0,7.8,0.1,3.0,2.0,1.0,0.667,2.0,0,0.0,0.0,LandTo0
766,1981,57,DAL,NFL,16,12,4,0,0.75,6.1,2.9,3.2,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,LandTo0
767,1982,58,DAL,NFL,9,6,3,0,0.667,8.2,5.2,3.0,3.0,2.0,1.0,0.667,2.0,0,0.0,0.0,LandTo0
768,1983,59,DAL,NFL,16,12,4,0,0.75,8.5,8.6,-0.1,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,LandTo0
769,1984,60,DAL,NFL,16,9,7,0,0.563,1.0,-1.4,2.4,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LandTo0
770,1985,61,DAL,NFL,16,10,6,0,0.625,0.2,0.6,-0.3,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,LandTo0
771,1986,62,DAL,NFL,16,7,9,0,0.438,2.1,3.0,-0.9,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,LandTo0
772,1987,63,DAL,NFL,15,7,8,0,0.467,-2.0,-0.2,-1.8,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,LandTo0
773,1988,64,DAL,NFL,16,3,13,0,0.188,-6.1,-3.8,-2.3,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,LandTo0
774,2000,63,CIN,NFL,13,4,9,0,0.308,-10.5,-8.1,-2.4,0.0,0.0,0.0,0.0,5.0,Coach starting week 5,4.0,2.0,LeBeDi0
775,2001,64,CIN,NFL,16,6,10,0,0.375,-3.5,-4.5,1.0,0.0,0.0,0.0,0.0,6.0,0,8.0,1.0,LeBeDi0
776,2002,65,CIN,NFL,16,2,14,0,0.125,-10.5,-3.6,-6.9,0.0,0.0,0.0,0.0,4.0,0,6.0,0.0,LeBeDi0
777,1970,51,HOU,NFL,14,3,10,1,0.231,-9.2,-3.5,-5.8,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LemmWa0
778,1978,53,KAN,NFL,16,4,12,0,0.25,-4.4,-3.0,-1.4,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,LevyMa0
779,1979,54,KAN,NFL,16,7,9,0,0.438,1.4,-4.0,5.4,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,LevyMa0
780,1980,55,KAN,NFL,16,8,8,0,0.5,-0.5,-0.8,0.3,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,LevyMa0
781,1981,56,KAN,NFL,16,9,7,0,0.563,3.2,0.4,2.8,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,LevyMa0
782,1982,57,KAN,NFL,9,3,6,0,0.333,-0.2,-1.9,1.6,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LevyMa0
783,1986,61,BUF,NFL,7,2,5,0,0.286,-5.8,-5.0,-0.8,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LevyMa0
784,1987,62,BUF,NFL,15,7,8,0,0.467,-0.2,-2.6,2.4,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LevyMa0
785,1988,63,BUF,NFL,16,12,4,0,0.75,6.4,0.0,6.4,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,LevyMa0
786,1989,64,BUF,NFL,16,9,7,0,0.563,4.3,3.8,0.5,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,LevyMa0
787,1990,65,BUF,NFL,16,13,3,0,0.813,8.6,5.7,2.9,3.0,2.0,1.0,0.667,1.0,AFC Champions,0.0,0.0,LevyMa0
788,1991,66,BUF,NFL,16,13,3,0,0.813,3.6,7.6,-4.1,3.0,2.0,1.0,0.667,1.0,AFC Champions,0.0,0.0,LevyMa0
789,1992,67,BUF,NFL,16,11,5,0,0.688,4.3,4.7,-0.4,4.0,3.0,1.0,0.75,2.0,AFC Champions,0.0,0.0,LevyMa0
790,1993,68,BUF,NFL,16,12,4,0,0.75,4.8,1.8,3.0,3.0,2.0,1.0,0.667,1.0,AFC Champions,0.0,0.0,LevyMa0
791,1994,69,BUF,NFL,16,7,9,0,0.438,-0.2,1.5,-1.8,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LevyMa0
792,1995,70,BUF,NFL,16,10,6,0,0.625,-0.9,-0.5,-0.4,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,LevyMa0
793,1996,71,BUF,NFL,16,10,6,0,0.625,2.9,-1.0,3.9,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,LevyMa0
794,1997,72,BUF,NFL,16,6,10,0,0.375,-4.5,-4.0,-0.5,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,LevyMa0
795,2003,45,CIN,NFL,16,8,8,0,0.5,-2.4,1.1,-3.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,LewiMa0
796,2004,46,CIN,NFL,16,8,8,0,0.5,2.7,4.3,-1.6,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,LewiMa0
797,2005,47,CIN,NFL,16,11,5,0,0.688,3.8,6.5,-2.7,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,LewiMa0
798,2006,48,CIN,NFL,16,8,8,0,0.5,4.1,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,LewiMa0
799,2007,49,CIN,NFL,16,7,9,0,0.438,-2.4,1.6,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,LewiMa0
800,2008,50,CIN,NFL,16,4,11,1,0.281,-7.0,-6.9,-0.1,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,LewiMa0
801,2009,51,CIN,NFL,16,10,6,0,0.625,0.7,-2.5,3.2,1.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,LewiMa0
802,2010,52,CIN,NFL,16,4,12,0,0.25,-1.4,0.4,-1.9,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,LewiMa0
803,2011,53,CIN,NFL,16,9,7,0,0.563,0.5,0.7,-0.2,1.0,0.0,1.0,0.0,3.0,0.0,5.0,2.0,LewiMa0
804,2012,54,CIN,NFL,16,10,6,0,0.625,2.1,1.2,0.9,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,LewiMa0
805,2013,55,CIN,NFL,16,11,5,0,0.688,5.4,2.3,3.0,1.0,0.0,1.0,0.0,1.0,0.0,9.0,7.0,LewiMa0
806,2014,56,CIN,NFL,16,10,5,1,0.656,0.7,-0.5,1.3,1.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,LewiMa0
807,2015,57,CIN,NFL,16,12,4,0,0.75,10.6,4.8,5.8,1.0,0.0,1.0,0.0,1.0,0.0,10.0,7.0,LewiMa0
808,2016,58,CIN,NFL,16,6,9,1,0.406,1.0,-1.5,2.5,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,LewiMa0
809,2017,59,CIN,NFL,16,7,9,0,0.438,-5.0,-4.1,-0.9,0.0,0.0,0.0,0.0,3.0,0.0,7.0,5.0,LewiMa0
810,2018,60,CIN,NFL,16,6,10,0,0.375,-3.4,0.0,-3.4,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,LewiMa0
811,2006,43,STL,NFL,16,8,8,0,0.5,-4.0,0.8,-4.7,0.0,0.0,0.0,0.0,2.0,0,9.0,4.0,LineSc0
812,2007,44,STL,NFL,16,3,13,0,0.188,-13.0,-6.5,-6.5,0.0,0.0,0.0,0.0,4.0,0,9.0,3.0,LineSc0
813,2008,45,STL,NFL,4,0,4,0,0.0,-15.1,-8.1,-7.0,0.0,0.0,0.0,0.0,4.0,Fired after Week 4,1.0,1.0,LineSc0
814,2016,48,BUF,NFL,1,0,1,0,0.0,-0.3,1.8,-2.2,0.0,0.0,0.0,0.0,3.0,Promoted to Head Coach after Week 16,0.0,0.0,LynnAn0
815,2017,49,LAC,NFL,16,9,7,0,0.563,3.6,-0.3,4.0,0.0,0.0,0.0,0.0,2.0,0,4.0,2.0,LynnAn0
816,2018,50,LAC,NFL,16,12,4,0,0.75,6.0,3.0,2.9,2.0,1.0,1.0,0.5,2.0,0,3.0,1.0,LynnAn0
817,2019,51,LAC,NFL,16,5,11,0,0.313,-1.3,-1.6,0.3,0.0,0.0,0.0,0.0,4.0,0,2.0,1.0,LynnAn0
818,2020,52,LAC,NFL,16,7,9,0,0.438,-2.9,-1.0,-2.0,0.0,0.0,0.0,0.0,3.0,0,1.0,0.0,LynnAn0
819,2024,37,SEA,NFL,17,10,7,0,0.588,1.3,-0.3,1.5,0.0,0.0,0.0,0.0,2.0,0,1.0,0.0,MacdMi0
820,2025,38,SEA,NFL,17,14,3,0,0.824,12.8,6.2,6.7,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,3.0,2.0,MacdMi0
821,1983,40,KAN,NFL,16,6,10,0,0.375,2.0,1.7,0.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MackJo0
822,1984,41,KAN,NFL,16,8,8,0,0.5,0.8,-0.8,1.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,MackJo0
823,1985,42,KAN,NFL,16,6,10,0,0.375,-1.6,-2.0,0.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MackJo0
824,1986,43,KAN,NFL,16,10,6,0,0.625,1.0,1.2,-0.1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,MackJo0
825,1970,34,OAK,NFL,14,8,4,2,0.667,1.0,2.3,-1.3,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,MaddJo0
826,1971,35,OAK,NFL,14,8,4,2,0.667,3.7,4.8,-1.1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,MaddJo0
827,1972,36,OAK,NFL,14,10,3,1,0.75,8.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,MaddJo0
828,1973,37,OAK,NFL,14,9,4,1,0.679,6.7,0.0,6.7,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,MaddJo0
829,1974,38,OAK,NFL,14,12,2,0,0.857,9.0,6.4,2.7,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,MaddJo0
830,1975,39,OAK,NFL,14,11,3,0,0.786,6.8,5.5,1.3,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,MaddJo0
831,1976,40,OAK,NFL,14,13,1,0,0.929,8.5,6.3,2.2,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,MaddJo0
832,1977,41,OAK,NFL,14,11,3,0,0.786,10.4,8.8,1.6,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,MaddJo0
833,1978,42,OAK,NFL,16,9,7,0,0.563,2.6,1.6,1.1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,MaddJo0
834,1978,48,RAM,NFL,16,12,4,0,0.75,3.2,1.3,1.9,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,MalaRa0
835,1979,49,RAM,NFL,16,9,7,0,0.563,-0.6,-1.2,0.6,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,MalaRa0
836,1980,50,RAM,NFL,16,11,5,0,0.688,6.5,4.4,2.1,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,MalaRa0
837,1981,51,RAM,NFL,16,6,10,0,0.375,-2.4,-1.4,-1.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,MalaRa0
838,1982,52,RAM,NFL,9,2,7,0,0.222,-6.9,0.9,-7.9,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,MalaRa0
839,2006,35,NYJ,NFL,16,10,6,0,0.625,2.0,0.4,1.7,1.0,0.0,1.0,0.0,2.0,0.0,7.0,2.0,MangEr0
840,2007,36,NYJ,NFL,16,4,12,0,0.25,-3.7,-4.0,0.3,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,MangEr0
841,2008,37,NYJ,NFL,16,9,7,0,0.563,0.2,2.2,-1.9,0.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,MangEr0
842,2009,38,CLE,NFL,16,5,11,0,0.313,-8.4,-6.0,-2.4,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,MangEr0
843,2010,39,CLE,NFL,16,5,11,0,0.313,-1.5,-3.4,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,MangEr0
844,1975,44,BAL,NFL,14,10,4,0,0.714,8.6,6.3,2.2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,MarcTe0
845,1976,45,BAL,NFL,14,11,3,0,0.786,9.8,9.3,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,MarcTe0
846,1977,46,BAL,NFL,14,10,4,0,0.714,5.0,3.6,1.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,MarcTe0
847,1978,47,BAL,NFL,16,5,11,0,0.313,-8.8,-2.8,-6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MarcTe0
848,1979,48,BAL,NFL,16,5,11,0,0.313,-3.5,-2.0,-1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MarcTe0
849,1992,61,IND,NFL,16,9,7,0,0.563,-7.0,-6.0,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,MarcTe0
850,1993,62,IND,NFL,16,4,12,0,0.25,-11.3,-6.2,-5.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MarcTe0
851,1994,63,IND,NFL,16,8,8,0,0.5,-1.5,-1.3,-0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,MarcTe0
852,1995,64,IND,NFL,16,9,7,0,0.563,-1.3,-1.8,0.4,3.0,2.0,1.0,0.667,2.0,0.0,0.0,0.0,MarcTe0
853,1996,65,BAL,NFL,16,4,12,0,0.25,-2.9,3.9,-6.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MarcTe0
854,1997,66,BAL,NFL,16,6,9,1,0.406,-0.6,-0.4,-0.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,MarcTe0
855,1998,67,BAL,NFL,16,6,10,0,0.375,-5.4,-5.2,-0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,MarcTe0
