,coy_rank,name,coy_share,year,id
260,7,Steve Spagnuolo,0.02,2010,SpagSt0
261,1,Jim Harbaugh,0.9,2011,HarbJi0
262,2,Mike McCarthy,0.06,2011,McCaMi0
263,3,John Fox,0.04,2011,FoxxJo0
264,1,Bruce Arians,0.73,2012,AriaBr0
265,2,Chuck Pagano,0.11,2012,PagaCh0
266,3,Pete Carroll,0.1,2012,CarrPe0
267,4,Leslie Frazier,0.06,2012,FrazLe0
268,1,Ron Rivera,0.43,2013,RiveRo0
269,2,Andy Reid,0.27,2013,ReidAn0
270,3,Bill Belichick,0.14,2013,BeliBi0
271,4,Chip Kelly,0.08,2013,KellCh0
272,5,Bruce Arians,0.04,2013,AriaBr0
273,6,Pete Carroll,0.04,2013,CarrPe0
274,1,Bruce Arians,0.79,2014,AriaBr0
275,2,Jason Garrett,0.06,2014,GarrJa0
276,3,Bill O'Brien,0.06,2014,OBriBi0
277,4,Pete Carroll,0.05,2014,CarrPe0
278,5,Bill Belichick,0.02,2014,BeliBi0
279,6,Jim Caldwell,0.02,2014,CaldJi0
280,1,Ron Rivera,0.73,2015,RiveRo0
281,2,Andy Reid,0.12,2015,ReidAn0
282,3,Bill O'Brien,0.04,2015,OBriBi0
283,4,Mike Zimmer,0.04,2015,ZimmMi0
284,5,Gary Kubiak,0.03,2015,KubiGa0
285,6,Bruce Arians,0.02,2015,AriaBr0
286,7,Bill Belichick,0.02,2015,BeliBi0
287,1,Jason Garrett,0.5,2016,GarrJa0
288,2,Bill Belichick,0.28,2016,BeliBi0
289,3,Adam Gase,0.12,2016,GaseAd0
290,4,Jack Del Rio,0.08,2016,DelRJa0
291,5,Andy Reid,0.02,2016,ReidAn0
292,1,Sean McVay,0.7,2017,McVaSe0
293,2,Mike Zimmer,0.22,2017,ZimmMi0
294,3,Doug Marrone,0.04,2017,MarrDo0
295,4,Bill Belichick,0.02,2017,BeliBi0
296,5,Doug Pederson,0.02,2017,PedeDo0
297,1,Matt Nagy,0.48,2018,NagyMa0
298,2,Anthony Lynn,0.2,2018,LynnAn0
299,3,Frank Reich,0.16,2018,ReicFr0
300,4,Andy Reid,0.1,2018,ReidAn0
301,5,Pete Carroll,0.04,2018,CarrPe0
302,6,Sean Payton,0.02,2018,PaytSe0
303,1,John Harbaugh,0.55,2019,HarbJo0
304,2,Kyle Shanahan,0.29,2019,ShanKy0
305,3,Matt LaFleur,0.06,2019,LaFlMa0
306,4,Sean McDermott,0.04,2019,McDeSe0
307,5,Mike Tomlin,0.04,2019,TomlMi0
308,6,Sean Payton,0.02,2019,PaytSe0
309,1,Kevin Stefanski,0.51,2020,StefKe0
310,2,Sean McDermott,0.143,2020,McDeSe0
311,3,Brian Flores,0.122,2020,FlorBr0
312,4,Ron Rivera,0.082,2020,RiveRo0
313,5,Matt LaFleur,0.061,2020,LaFlMa0
314,6,Sean Payton,0.041,2020,PaytSe0
315,7,Andy Reid,0.041,2020,ReidAn0
316,1,Mike Vrabel,0.72,2021,VrabMi0
317,2,Matt LaFleur,0.16,2021,LaFlMa0
318,3,Rich Bisaccia,0.06,2021,BisaRi0
319,4,Zac Taylor,0.04,2021,TaylZa0
320,5,Bill Belichick,0.02,2021,BeliBi0
321,1,Brian Daboll,0.273,2022,DaboBr0
322,2,Kyle Shanahan,0.222,2022,ShanKy0
323,3,Doug Pederson,0.167,2022,PedeDo0
324,4,Sean McDermott,0.107,2022,McDeSe0
325,5,Nick Sirianni,0.1,2022,SiriNi0
326,6,Kevin O'Connell,0.051,2022,OConKe0
327,7,Dan Campbell,0.033,2022,CampDa1
328,8,Andy Reid,0.022,2022,ReidAn0
329,9,Pete Carroll,0.013,2022,CarrPe0
330,10,Mike Tomlin,0.011,2022,TomlMi0
331,1,Kevin Stefanski,0.367,2023,StefKe0
332,2,DeMeco Ryans,0.367,2023,RyanDe0
333,3,Dan Campbell,0.073,2023,CampDa1
