,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
61,2005,47,PHI,NFL,16,6,10,0,0.375,-2.3,-0.7,-1.7,0.0,0.0,0.0,0.0,4.0,1.0,8.0,0,ReidAn0
62,2006,48,PHI,NFL,16,10,6,0,0.625,3.4,3.2,0.2,2.0,1.0,1.0,0.5,1.0,1.0,4.0,0,ReidAn0
63,2007,49,PHI,NFL,16,8,8,0,0.5,5.3,0.1,5.1,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0,ReidAn0
64,2008,50,PHI,NFL,16,9,6,1,0.594,7.8,4.7,3.2,3.0,2.0,1.0,0.667,2.0,0.0,5.0,0,ReidAn0
65,2009,51,PHI,NFL,16,11,5,0,0.688,6.0,5.8,0.2,1.0,0.0,1.0,0.0,2.0,4.0,8.0,0,ReidAn0
66,2010,52,PHI,NFL,16,10,6,0,0.625,4.2,5.4,-1.2,1.0,0.0,1.0,0.0,1.0,3.0,6.0,0,ReidAn0
67,2011,53,PHI,NFL,16,8,8,0,0.5,4.7,3.1,1.7,0.0,0.0,0.0,0.0,2.0,10.0,14.0,0,ReidAn0
68,2012,54,PHI,NFL,16,4,12,0,0.25,-8.9,-5.3,-3.6,0.0,0.0,0.0,0.0,4.0,3.0,6.0,0,ReidAn0
69,2013,55,KAN,NFL,16,11,5,0,0.688,6.1,1.7,4.3,1.0,0.0,1.0,0.0,2.0,7.0,8.0,0,ReidAn0
70,2014,56,KAN,NFL,16,9,7,0,0.563,5.7,0.0,5.7,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0,ReidAn0
71,2015,57,KAN,NFL,16,11,5,0,0.688,9.0,3.7,5.3,2.0,1.0,1.0,0.5,2.0,3.0,6.0,0,ReidAn0
72,2016,58,KAN,NFL,16,12,4,0,0.75,5.6,1.2,4.4,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0,ReidAn0
73,2017,59,KAN,NFL,16,10,6,0,0.625,3.4,3.8,-0.3,1.0,0.0,1.0,0.0,1.0,2.0,6.0,0,ReidAn0
74,2018,60,KAN,NFL,16,12,4,0,0.75,8.9,12.6,-3.8,2.0,1.0,1.0,0.5,1.0,3.0,6.0,0,ReidAn0
75,2019,61,KAN,NFL,16,12,4,0,0.75,9.1,6.2,2.9,3.0,3.0,0.0,1.0,1.0,4.0,8.0,Super Bowl Champions,ReidAn0
76,2020,62,KAN,NFL,16,14,2,0,0.875,6.8,4.5,2.3,3.0,2.0,1.0,0.667,1.0,1.0,1.0,AFC Champions,ReidAn0
77,2021,63,KAN,NFL,17,12,5,0,0.706,7.4,5.4,2.0,3.0,2.0,1.0,0.667,1.0,5.0,5.0,0,ReidAn0
78,2022,64,KAN,NFL,17,14,3,0,0.824,6.2,6.8,-0.6,3.0,3.0,0.0,1.0,1.0,3.0,7.0,Super Bowl Champions,ReidAn0
79,2023,65,KAN,NFL,17,11,6,0,0.647,3.7,-0.6,4.4,4.0,4.0,0.0,1.0,1.0,4.0,5.0,Super Bowl Champions,ReidAn0
80,2024,66,KAN,NFL,17,15,2,0,0.882,4.2,-0.2,4.4,3.0,2.0,1.0,0.667,1.0,1.0,4.0,AFC Champions,ReidAn0
81,1970,46,DAL,NFL,14,10,4,0,0.714,7.0,2.5,4.5,3.0,2.0,1.0,0.667,1.0,0.0,0.0,NFC Champions,LandTo0
82,1971,47,DAL,NFL,14,11,3,0,0.786,9.9,8.3,1.6,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,LandTo0
83,1972,48,DAL,NFL,14,10,4,0,0.714,6.1,3.4,2.7,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0,LandTo0
84,1973,49,DAL,NFL,14,10,4,0,0.714,12.8,6.8,6.0,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,LandTo0
85,1974,50,DAL,NFL,14,8,6,0,0.571,5.9,4.0,1.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,LandTo0
86,1975,51,DAL,NFL,14,10,4,0,0.714,4.1,4.0,0.1,3.0,2.0,1.0,0.667,2.0,0.0,0.0,NFC Champions,LandTo0
87,1976,52,DAL,NFL,14,11,3,0,0.786,4.5,0.5,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,LandTo0
88,1977,53,DAL,NFL,14,12,2,0,0.857,7.8,7.6,0.2,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,LandTo0
89,1978,54,DAL,NFL,16,12,4,0,0.75,11.0,5.8,5.2,3.0,2.0,1.0,0.667,1.0,0.0,0.0,NFC Champions,LandTo0
90,1979,55,DAL,NFL,16,11,5,0,0.688,3.3,3.0,0.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,LandTo0
91,1980,56,DAL,NFL,16,12,4,0,0.75,8.0,7.8,0.1,3.0,2.0,1.0,0.667,2.0,0.0,0.0,0,LandTo0
92,1981,57,DAL,NFL,16,12,4,0,0.75,6.1,2.9,3.2,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,LandTo0
93,1982,58,DAL,NFL,9,6,3,0,0.667,8.2,5.2,3.0,3.0,2.0,1.0,0.667,2.0,0.0,0.0,0,LandTo0
94,1983,59,DAL,NFL,16,12,4,0,0.75,8.5,8.6,-0.1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,LandTo0
95,1984,60,DAL,NFL,16,9,7,0,0.563,1.0,-1.4,2.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,LandTo0
96,1985,61,DAL,NFL,16,10,6,0,0.625,0.2,0.6,-0.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,LandTo0
97,1986,62,DAL,NFL,16,7,9,0,0.438,2.1,3.0,-0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,LandTo0
98,1987,63,DAL,NFL,15,7,8,0,0.467,-2.0,-0.2,-1.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,LandTo0
99,1988,64,DAL,NFL,16,3,13,0,0.188,-6.1,-3.8,-2.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,LandTo0
100,1970,62,CIN,NFL,14,8,6,0,0.571,0.5,1.2,-0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,BrowPa0
101,1971,63,CIN,NFL,14,4,10,0,0.286,-0.5,-0.4,-0.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,BrowPa0
102,1972,64,CIN,NFL,14,8,6,0,0.571,4.1,1.2,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BrowPa0
103,1973,65,CIN,NFL,14,10,4,0,0.714,3.0,0.1,2.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,BrowPa0
104,1974,66,CIN,NFL,14,7,7,0,0.5,2.2,1.9,0.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,BrowPa0
105,1975,67,CIN,NFL,14,11,3,0,0.786,6.9,4.0,2.9,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,BrowPa0
106,1984,41,CLE,NFL,8,4,4,0,0.5,-3.8,-6.1,2.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,SchoMa0
107,1985,42,CLE,NFL,16,8,8,0,0.5,-1.3,-4.7,3.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,SchoMa0
108,1986,43,CLE,NFL,16,12,4,0,0.75,3.6,2.9,0.7,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,SchoMa0
109,1987,44,CLE,NFL,15,10,5,0,0.667,10.8,5.3,5.5,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,SchoMa0
110,1988,45,CLE,NFL,16,10,6,0,0.625,0.5,-3.5,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
111,1989,46,KAN,NFL,16,8,7,1,0.531,2.0,-0.1,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
112,1990,47,KAN,NFL,16,11,5,0,0.688,6.7,2.7,4.1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
113,1991,48,KAN,NFL,16,10,6,0,0.625,6.4,1.8,4.5,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,SchoMa0
114,1992,49,KAN,NFL,16,10,6,0,0.625,3.4,3.7,-0.2,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
115,1993,50,KAN,NFL,16,11,5,0,0.688,2.9,1.9,1.0,3.0,2.0,1.0,0.667,1.0,0.0,0.0,0.0,SchoMa0
116,1994,51,KAN,NFL,16,9,7,0,0.563,0.9,-1.3,2.1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
117,1995,52,KAN,NFL,16,13,3,0,0.813,7.6,0.8,6.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,SchoMa0
118,1996,53,KAN,NFL,16,9,7,0,0.563,1.8,-0.7,2.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SchoMa0
119,1997,54,KAN,NFL,16,13,3,0,0.813,8.4,1.8,6.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,SchoMa0
120,1998,55,KAN,NFL,16,7,9,0,0.438,-3.1,-0.7,-2.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,SchoMa0
121,2001,58,WAS,NFL,16,8,8,0,0.5,-3.7,-4.0,0.4,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,SchoMa0
122,2002,59,SDG,NFL,16,8,8,0,0.5,-0.7,-1.0,0.2,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,SchoMa0
123,2003,60,SDG,NFL,16,4,12,0,0.25,-6.8,-0.6,-6.2,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,SchoMa0
124,2004,61,SDG,NFL,16,12,4,0,0.75,9.1,6.1,3.0,1.0,0.0,1.0,0.0,1.0,4.0,8.0,0.0,SchoMa0
125,2005,62,SDG,NFL,16,9,7,0,0.563,9.9,7.1,2.9,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,SchoMa0
126,2006,63,SDG,NFL,16,14,2,0,0.875,10.2,10.0,0.2,1.0,0.0,1.0,0.0,1.0,3.0,8.0,0.0,SchoMa0
127,1970,38,PIT,NFL,14,5,9,0,0.357,-7.4,-5.9,-1.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,NollCh0
128,1971,39,PIT,NFL,14,6,8,0,0.429,-3.6,-1.8,-1.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,NollCh0
129,1972,40,PIT,NFL,14,11,3,0,0.786,10.0,3.4,6.6,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,NollCh0
130,1973,41,PIT,NFL,14,10,4,0,0.714,8.2,4.5,3.8,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0,NollCh0
131,1974,42,PIT,NFL,14,10,3,1,0.75,6.8,2.3,4.5,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,NollCh0
132,1975,43,PIT,NFL,14,12,2,0,0.857,14.2,5.4,8.8,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Super Bowl Champions,NollCh0
133,1976,44,PIT,NFL,14,10,4,0,0.714,15.3,5.7,9.6,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0,NollCh0
