,id,name,to,poc
465,GillFr0,Fred Gillies,1928,False
466,HainHi0,Hinkey Haines,1931,False
467,HanlDi0,Dick Hanley,1946,False
468,HeffEr0,Ernie Hefferle,1975,False
469,HegaJa0,Jack Hegarty,1921,False
470,HeldJa0,Jack Heldt,1926,False
471,HickMa0,Max Hicks,1921,False
472,JoesHe0,Herb Joesting,1929,False
473,JollAl0,Al Jolley,1933,False
474,KoppWa0,Walt Koppisch,1925,False
475,KraeOl0,Ollie Kraehe,1923,False
476,MahrLo0,Lou Mahrt,1927,False
477,McCuPe0,Pete McCulley,1978,False
478,McKeEd0,Ed McKeever,1948,False
479,McLeRa0,Ray McLean,1958,False
480,MeagJa0,Jack Meagher,1946,False
481,NiedFr0,Frank Nied,1926,False
482,OConFr0,Fred O'Connor,1978,False
483,PeteBi0,Bill Peterson,1973,False
484,RosbJe0,Jerry Rosburg,2022,False
485,RustRo0,Rod Rust,1990,False
486,SalaAn0,Andy Salata,1930,False
487,SatuJe0,Jeff Saturday,2022,False
488,ScotTo0,Tom Scott,1946,False
489,ShipKe0,Ken Shipp,1975,False
490,ShofJi0,Jim Shofner,1990,False
491,StanDi0,Dick Stanfel,1980,False
492,StevMa0,Mal Stevens,1946,False
493,StudEr0,Eric Studesville,2010,False
494,TaboCh0,Chris Tabor,2023,False
495,ThomEm0,Emmitt Thomas,2007,False
496,TollRu0,Russell Tollefson,1922,False
497,WallRo0,Ron Waller,1973,False
498,WalsCh0,Chile Walsh,1934,False
499,WiggHu0,Hubert Wiggs,1922,False
500,YounDo0,Doc Young,1926,False
501,AbboFa0,Fay Abbott,1929,False
502,BattDi0,Dim Batterson,1927,False
503,BranJo0,Joe Brandy,1924,False
504,BricCh0,Charlie Brickley,1921,False
505,BridFr0,Frank Bridges,1944,False
506,ChecCo0,Coonie Checkaye,1921,False
507,ClarAl0,Algy Clark,1934,False
508,CofaSt0,Stan Cofall,1920,False
509,CougFr0,Frank Coughlin,1921,False
510,CrowJi0,Jim Crowley,1947,False
511,DellHe0,Herb Dell,1922,False
512,FassJo0,John Fassel,2016,False
513,GrigTe0,Tex Grigg,1925,False
514,HanlBo0,Bo Hanley,1924,False
515,HendDu0,Dutch Hendrian,1923,False
516,HiggAu0,Austin Higgins,1921,False
517,HuffKe0,Ken Huffine,1920,False
518,HuntHa0,Hal Hunter,1984,False
519,KarcBu0,Bull Karcis,1942,False
520,KubaEd0,Ed Kubale,1944,False
521,KuhlHa0,Hank Kuhlmann,1989,False
522,LyonLe0,Leo Lyons,1924,False
523,McGaAl0,Alfred McGall,1930,False
524,McIlWa0,Wally McIlwain,1926,False
525,ModzDi0,Dick Modzelewski,1977,False
526,MurpJo0,Johnny Murphy,1924,False
527,NessAl0,Al Nesser,1926,False
528,RoseTa0,Tam Rose,1921,False
529,SachLe0,Lenny Sachs,1926,False
530,SmitGi0,Giff Smith,2023,False
